       Steps;     Time/fs;        O;        H;    Empty;      H2s;   O2(3S);  OH(2Pi);      HO2; H2O(1A`);H2O(3A``);       O3;       H3;       H4; H2O2(1A);       O4;      H3O;      HO3;      H2t;   O2(1D); H2O2(3A);    HO(4);
        37203;     1860.15;        0;       50;        0;      100;       98;        0;        0;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;
        37962;     1898.10;        0;       48;        0;      101;       98;        0;        0;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;
        38268;     1913.40;        0;       48;        0;      101;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        38539;     1926.95;        0;       47;        0;      100;      100;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        39309;     1965.45;        0;       48;        0;      101;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        39377;     1968.85;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        44938;     2246.90;        0;       50;        0;       98;      100;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        47377;     2368.85;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        47593;     2379.65;        0;       49;        0;       99;      100;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        48271;     2413.55;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        48865;     2443.25;        0;       49;        0;       99;      100;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        49716;     2485.80;        0;       49;        0;       97;      100;        0;        0;        0;        0;        0;        1;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        50186;     2509.30;        0;       50;        0;       98;      100;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        50403;     2520.15;        0;       49;        0;       97;      100;        0;        0;        0;        0;        0;        1;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        51272;     2563.60;        0;       49;        0;       99;      100;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        51357;     2567.85;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        53241;     2662.05;        0;       50;        0;       98;      100;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        54697;     2734.85;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        59815;     2990.75;        0;       49;        0;       99;      100;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        61301;     3065.05;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        65022;     3251.10;        0;       49;        0;      100;       99;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        66572;     3328.60;        0;       48;        0;       99;       99;        0;        1;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        67684;     3384.20;        0;       48;        0;       99;       97;        0;        1;        0;        0;        0;        1;        0;        0;        1;        0;        0;        0;        0;        0;        0;
        67687;     3384.35;        0;       49;        0;      100;       97;        0;        1;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;
        74021;     3701.05;        0;       49;        0;      100;       99;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        74111;     3705.55;        0;       49;        0;      100;       97;        0;        1;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;
        74163;     3708.15;        0;       50;        0;      100;       98;        0;        0;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;
        74241;     3712.05;        0;       49;        0;       99;       98;        0;        0;        0;        0;        0;        1;        0;        0;        1;        0;        0;        0;        0;        0;        0;
        75552;     3777.60;        0;       50;        0;      100;       98;        0;        0;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;
        75789;     3789.45;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        76680;     3834.00;        0;       50;        0;       98;      100;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        76708;     3835.40;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        76828;     3841.40;        0;       50;        0;       98;      100;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        76865;     3843.25;        0;       50;        0;      100;      100;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;        0;
        82394;     4119.70;        0;       50;        0;       98;      100;        0;        0;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        82551;     4127.55;        0;       49;        0;       98;       99;        0;        1;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        83144;     4157.20;        0;       49;        0;       96;       99;        0;        1;        0;        0;        0;        0;        2;        0;        0;        0;        0;        0;        0;        0;        0;
        83625;     4181.25;        0;       48;        0;       96;       98;        0;        2;        0;        0;        0;        0;        2;        0;        0;        0;        0;        0;        0;        0;        0;
        83759;     4187.95;        0;       48;        0;       98;       98;        0;        2;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        83768;     4188.40;        0;       47;        0;       97;       98;        0;        2;        0;        0;        0;        1;        1;        0;        0;        0;        0;        0;        0;        0;        0;
        84797;     4239.85;        0;       48;        0;       98;       98;        0;        2;        0;        0;        0;        0;        1;        0;        0;        0;        0;        0;        0;        0;        0;
